id,drug_id,sentence_index,sentences,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
4,lexapro.93,4,"This medication orginally did wonders for my wellbeing and anxiety, However, I needed to come off it as it often impaired my memory .",anxiety,,,,,,,,,
1,lexapro.95,1,I must say that this medication helped with depression.,depression,,,,,,,,,
2,lexapro.95,2,Right after i started it my crying spells stopped and suicidal thoughts were gone.,crying spells,suicidal thoughts,,,,,,,,
4,lexapro.95,4,"I have goten much calmer and was able to to face day to day problems without huge anxiety and stress, So overall .",anxiety,stress,,,,,,,,
1,lexapro.101,1,"At 10mg/day for 2 months, my depression persisted and my doctor increased me to 20mg/day.",depression,,,,,,,,,
4,lexapro.101,4,"This was only acceptable because my depression symptoms went away,completely.",depression,,,,,,,,,
2,lexapro.102,2,It's six days now and the obsessive endless thoughts about a bad event in my life are already subsiding.,obsessive endless thoughts,,,,,,,,,
2,lexapro.103,2,It worked for my anxiety for a year and then it stopped.,anxiety,,,,,,,,,
3,lexapro.106,3,"Kind of a relief from racing thoughts, but scary because I might as well be in a coma.",racing thoughts,,,,,,,,,
3,lexapro.107,3,"This means fibromyalgia pain is back with a vengeance, However, I no longer am suicidal and this got rid of a 4-day-long panic attack within 1 day of commencing.",fibromyalgia ,suicidal,panic attack,,,,,,,
2,lexapro.108,2,"I started taking lexapro to help with depression,I think for me its depression that leads to my anxiety,not the other way around.",depression,,,,,,,,,
5,lexapro.109,5,"It has definately helped with my uncontrollable crying and incesant thoughts about death, However, the main reason I take it is for anxiety.",uncontrollable crying,incesant thoughts about death,anxiety,,,,,,,
1,lexapro.110,1,"light headed and increased anxiety the first few days, then subsided.",anxiety,,,,,,,,,
3,lexapro.110,3,stopped using lexapro for 4 months or so and became extremely depressed again.,depressed,,,,,,,,,
10,lexapro.114,10,"I am not depressed, but I feel that life is without excitement.",depressed,,,,,,,,,
3,lexapro.115,3,"My life is easier, lighter, I'm capable of working out the issues that lead me to depression, when before all I could do was cry.",depression,cry,,,,,,,,
2,lexapro.118,2,Lexapro keeps me out of deep depression.,deep depression,,,,,,,,,
4,lexapro.118,4,"I still have down days, and am frequently moody, But, life is better with it than without it.",down days,moody,,,,,,,,
3,lexapro.119,3,Before I was barely functional and honestly might not be here.,barely functional,,,,,,,,,
3,lexapro.120,3,10mgs daily Lexapro has helped my anxiety and has chilled me out.,anxiety,chilled me out,,,,,,,,
4,lexapro.120,4,I don't get as upset about things nor do I worry myself crazy anymore.,upset,worry,,,,,,,,
10,lexapro.120,10,My mood is definitely lifted although my energy is really low.,My mood is definitely lifted,,,,,,,,,
7,lexapro.121,7,"Over the 10 years, it has done a great job at lowering my anxiety and evening me out.",anxiety,evening me out,,,,,,,,
2,lexapro.122,2,Works well for depression and anxiety.,depression,anxiety,,,,,,,,
3,lexapro.123,3,"life saver for ""intrusive thoughts"" brought on by anxiety",intrusive thoughts,anxiety,,,,,,,,
3,lexapro.124,3,"Lexapro has been great as far as balancing out my mood, and making me feel much less anxious and happy overall, However, the drowsiness is becoming a pretty big problem, especially when I am sleeping an average of 12 hours a day (mostly in 4-5 hour naps).",anxious,balancing out my mood,anxious,,,,,,,
2,lexapro.126,2,"I was very suicidal when put on Lexapro and it helped me relax a great deal, I was so much more happy on it but had to stop taking it due to it causing hair loss and it killed my sex drive and feeling.",suicidal,,,,,,,,,
3,lexapro.128,3,It has helped me so much and the depression and anxiety are gone.,depression,anxiety,,,,,,,,
2,lexapro.129,2,Helped with depression after postpartum but I am considering trying to stop due to severe night sweats & cost of Lexapro.,depression after postpartum,,,,,,,,,
3,lexapro.130,3,"I started this six months ago amidst a battle with depression, in addition to having bulimia and trichotillomania.",depression,bulimia,trichotillomania,,,,,,,
5,lexapro.130,5,"I lost my mother three months ago, and I don't know what I would have done if I weren't already on Escitalopram.",lost my mother,,,,,,,,,
6,lexapro.130,6,No urge to return to my old habits despite my unbelievable stress level.,No urge to return to my old habits,,,,,,,,,
4,lexapro.131,4,I've tried quite a few antidepressants and this one seems to be the one that handles my depression and I can live with the side effects.,depression,,,,,,,,,
7,lexapro.131,7,"Some people have mentioned that this medicine doesn't work for mild depression, just major or suicidal depressives, I disagree.",mild depression,major depression,suicidal depressives,,,,,,,
5,lexapro.133,5,"Before taking Lexapro, I was having panic attacks at least twice a week.",panic attacks,,,,,,,,,
9,lexapro.133,9,"It was getting quite debilitating because my work requires driving to different places at times, Now, for the 10 months I've been taking Lexapro, I've only had three instances where I could feel myself going into a panic attack .",panic attack,,,,,,,,,
16,lexapro.133,16,The alternative right now would be having the weekly panic attacks again which I am in no mood to continue.,panic attacks,,,,,,,,,
17,lexapro.133,17,I also notice not worrying so much anymore about things .,worrying,,,,,,,,,
18,lexapro.133,18,"I used to worry about everything, Problems don't seem so overwhelming.",worrying,Problems seem so overwhelming,,,,,,,,
19,lexapro.133,19,I also have noticed that I don't get so upset and rattled by other people's rudeness or nasty comments anymore.,upset,rattled,,,,,,,,
2,lexapro.134,2,"Once the Med had firmly taken hold of me, my life turned from one full of anxiety, fear and depression, too one of absolute fulfillment and happiness.",anxiety,fear,depression,,,,,,,
2,lexapro.135,2,I'm bipolar and was experiencing major depression despite my antibipolar meds (which luckily stopped the manic episodes).,bipolar,major depression,manic episodes,,,,,,,
3,lexapro.135,3,lexapro has caused NO mania and has really helped the depression-i no longer want to kill myself everyday.,depression,want to kill myself,,,,,,,,
3,lexapro.137,3,"It helped my depression tremendously, but sexual side effects are severe in my case.",depression,,,,,,,,,
3,lexapro.138,3,"Possible side affect was reduced sexual desire, but my doctor said this could be just from the depression and stress itself.",depression,stress,,,,,,,,
2,lexapro.139,2,I initially took Lexapro at 10mg with my Wellbutrin in order to stop a debilitating depressive episode from progressing.,debilitating depressive episode,,,,,,,,,
5,lexapro.139,5,"After about 4 months of being off, I noticed my irritability and anxiety increasing, so my new doc suggested a measly 2.5 mg dosage.",irritability,anxiety,,,,,,,,
11,lexapro.139,11,"When my side effects are difficult to deal with, I remember that a debilitating major depressive episode, wanting to curl up and die, is FAR worse and I am thankful that I have options to help me live a normal life.",debilitating major depressive episode,wanting to curl up and die,,,,,,,,
5,lexapro.140,5,For me it became a question of balance: Lexapro side effects vs. depression and its side effects.,depression,,,,,,,,,
6,lexapro.140,6,"After 1 1/2 years on Lexapro, I believe that it has a very short shelf life, less than 30 days, and is extremely sensitive to temperature/humidity fluctuations & extremes, Every month, when I'm down to my last 3-8 pills of my supply, I notice that I get depressed often and have sudden mood swings.",depressed,mood swings,,,,,,,,
9,lexapro.140,9,"I'm a stay-at-hme-dad of toddler & infant and am glad that I'm not depressed with anxiety while raising them, That said, I can't wait until I'm ready to stop, WEIGHT GAIN: 6,7%",depressed,anxiety,,,,,,,,
10,lexapro.141,10,"It has calmed my anxiety down alot, before I could hardly bare to be social,social situations just scared me to death.",anxiety,could hardly bare to be social,social situations just scared me,,,,,,,
4,lexapro.143,4,I feel like myself and don't get upset or angry as easily., upset,angry,,,,,,,,
2,lexapro.146,2,I started taking 10 mg lexapro after I developed post natal depression.,post natal depression,,,,,,,,,
5,lexapro.146,5,It made me feel so much better and completely stopped the anxiety and panic attacks.,anxiety,panic attacks,,,,,,,,
4,lexapro.150,4,I'm no longer worrying about the next time I'm going to get depressed or have a panic attack.,worrying,depressed,panic attack,,,,,,,
7,lexapro.150,7,"I resisted taking this medicine at first, but decided it was for the best when my depression and anxiety started getting in the way of my functioning normally.",depression,anxiety,,,,,,,,
2,lexapro.152,2,"I took Lexapro together with Wellbutrin to ""correct"" concurrent depression and anxiety.",depression,anxiety,,,,,,,,
3,lexapro.152,3,"At the time I started the drugs, I was in a major depression.",depression,,,,,,,,,
6,lexapro.153,6,"I've been more socially confident, been told for the first time that I'm outgoing, and haven't had as much anxiety.",anxiety,,,,,,,,,
10,lexapro.153,10,"Although I took my missed dose this afternoon, the symptoms are lingering, Rather disturbing, and I wonder how the hell I'm going to get off this stuff, But Lexy's different for everyone, and it certainly has helped out with my anxiety.",anxiety,,,,,,,,,
2,lexapro.154,2,This drug worked very well for anxiety and mild depression.,anxiety,depression,,,,,,,,
6,lexapro.154,6,I was actually able to overcome a long-standing fear of flying.,long-standing fear of flying,,,,,,,,,
4,lexapro.156,4,It has really helped with my depression and my ability to handle things.,depression,,,,,,,,,
5,lexapro.156,5,"My anxiety is much calmer, although still present.",anxiety,,,,,,,,,
6,lexapro.156,6,"I haven't had any episodes or panic attacks since I started it, except for a three day period when I couldn't get my prescription refilled, so went without.",panic attacks,,,,,,,,,
3,lexapro.158,3,Most of the fatigue passed after a week or so., fatigue ,,,,,,,,,
4,lexapro.158,4,I've found that the side effects are tolerable in exchange for the remarkably stable feeling I have and the absence of any depression or suicidal thoughts.,depression,suicidal thoughts,,,,,,,,
3,lexapro.159,3,"Still have some depression symptoms (crying, etc), but it takes the edge away for the most part.",depression,crying,,,,,,,,
4,lexapro.160,4,Social anxiety is gone and im feeling good helped me with withdrawal symptoms from alcohol and marijuana use.,social anxiety, withdrawal symptoms from alcohol and marijuana use, withdrawal symptoms from marijuana use,,,,,,,
5,lexapro.160,5,Used to have severe depression now i dont.,depression,,,,,,,,,
6,lexapro.160,6,Suggest use for anyone who has anxiety in social environments.,anxiety in social environments,,,,,,,,,
5,lexapro.162,5,"His notion is validated by my increased ability to sleep, which is never possible if I'm anxious.",increased ability to sleep, anxious,,,,,,,,
6,lexapro.164,6,At times I felt very anxious for no reason and at different times in the day but these negative side effects paled next to the depression i was stuck in before lexapro.,depression,,,,,,,,,
3,lexapro.165,3,I feel more energetic and my anxiety is now manageable.,anxiety,,,,,,,,,
3,lexapro.166,3,It really helped my OCD.,OCD,,,,,,,,,
4,lexapro.166,4,Without it I would still be counting every single footstep and rechecking EVERYTHING in my apartment.,counting every single footstep,rechecking EVERYTHING in my apartment,,,,,,,,
9,lexapro.167,9,I continue to take it because I was diagnosed with clinical depression 9 years ago and I don't plan on stopping.,clinical depression,,,,,,,,,
8,lexapro.168,8,barely any anxiety or major depression symptoms which has made it easier to deal with the physical side effects.,anxiety,depression,,,,,,,,
4,lexapro.169,4,"i have taken it for 2 years and feel great, very little to no anxiety at all, some weight gain.",anxiety,,,,,,,,,
5,lexapro.169,5,"i not fixated on stupid things that dont really matter,just got over battle with kidney cancer, ok now and loving life, people , dont sweat the little things in life that we dont have any control over, your just waisting brain cells.",fixated on stupid things,sweat the little things,,,,,,,,
1,lexapro.172,1,After taking this medication 2.5mg for 2 days my feelings of shock and depression are subsiding and I am feeling better.,feelings of shock,depression,,,,,,,,
3,lexapro.173,3,"I am sleeping better than ever before, no pounding heart.",sleeping better,pounding heart,,,,,,,,
4,lexapro.173,4,"My follow through is great, where as I used to be flaky and couldn't be counted on, Lexapro has changed all that - now I'm dependable",flaky,couldn't be counted on,,,,,,,,
10,lexapro.175,10,My depression is at an all-time low and my anxiety getting better.,depression,anxiety,,,,,,,,
11,lexapro.175,11,I have relied on Xanax to calm my panic attacks and now slowly weaning off of it due to the Lexapro!,panic attacks,,,,,,,,,
3,lexapro.176,3,"It may have been placebo effect, but I felt relief from anxiety after my second pill.",anxiety,,,,,,,,,
7,lexapro.176,7,"I feel as though I've been disconnected from life for so long, now I feel much more like I can live in the moment.",disconnected from life,,,,,,,,,
17,lexapro.178,17,I started taking this for my Post Partum.,Post Partum,,,,,,,,,
24,lexapro.178,24,I felt so much better but I still had the feeling of uneasiness.,,,,,,,,,,
10,lexapro.179,10,"I now feel so much calmer and happier, no anxiety attacks or feelings of dread.",anxiety attacks,feelings of dread,,,,,,,,
4,lexapro.180,4,It has reduced my anxiety attacks to near nothing!,anxiety attacks,,,,,,,,,
5,lexapro.180,5,"Automatic anxiety occasions (elevator rides, big crowds) now don't trigger automatic responses, which helps a ton.",Automatic anxiety occasions,trigger automatic responses,,,,,,,,
8,lexapro.182,8,"Within a week I felt like my old self but even better, The worries, and the major (and i mean MAJOR deep dark hole depression) I experienced (especially PMS depression) is gone and has stayed gone.",worries,depression,PMS depression,,,,,,,
2,lexapro.183,2,Overall does help my depression.,depression,,,,,,,,,
3,lexapro.186,3,I took this because I began to have severe panic attacks and issues with depression.,panic attacks,depression,,,,,,,,
2,lexapro.187,2,Gave me my life back after completely breaking down six months ago.,breaking down,,,,,,,,,
3,lexapro.187,3,Helped not only with the issues I was immediately experiencing (extreme panic and hypochondria) but long-standing social anxiety and obsessive thoughts have also been relieved.,panic,hypochondria,social anxiey,obsessive thoughts,,,,,,
1,lexapro.189,1,Originally I was prescribed Zoloft for depression & anxiety attacks and was given 50mg dose from the start.,depression,anxiety attacks,,,,,,,,
10,lexapro.189,10,"Social, happy to have company, emotionally well & stable, Again, woke up at 4am (no anxiety) for no reason but fell asleep an hour later.",anxiety,,,,,,,,,
7,lexapro.193,7,"The psychiatrist prescribed Lexapro because I was also having severe mood swings and rage along with the depression, completely stressed out and unhappy.",mood swings,rage,depression,stressed out,unhappy,,,,,
10,lexapro.193,10,"I feel hopeful and happy and content, the kids' antics don't wig me out like they used to.",kids' antics wig me out,,,,,,,,,
11,lexapro.193,11,"The fact that I am sleeping better, too, is a bonus, because I was having a terrible time sleeping more than three hours at a time and spent a couple of hours each night tossing and turning, Not anymore!",terrible time sleeping more than three hours at a time,spent a couple of hours each night tossing and turning,,,,,,,,
6,lexapro.194,6,"If you have an ""inner critic"", it takes that voice away and you feel like you're allowed to feel happy again.",inner critic,,,,,,,,,
1,lexapro.195,1,"Help with anxiety and depression (bipolar related) Had dry mouth for a month when first starting it, None",anxiety,depression,bipolar,,,,,,,
3,lexapro.196,3,Since being on Lexapro my depression has lifted.,depression,,,,,,,,,
4,lexapro.196,4,It seems to be helping for anxiety as well but I also take .5mg of Klonopin twice a day.,anxiety,,,,,,,,,
7,lexapro.197,7,With my depression everything stays jumbled up in my head and Lexapro helps me sort it all out.,depression,everything stays jumbled up in my head,,,,,,,,
4,lexapro.198,4,"It really helped a lot, though my anxiety is still present it is not crippling like it used to be.",anxiety,,,,,,,,,
4,lexapro.200,4,"Reduced my anxiety and depression by at least 80%, Love it,",anxiety,depression,,,,,,,,
7,lexapro.201,7,"Sometimes I think the vivid dreaming keeps you from getting quality sleep, However, this medicine has been great-I had anxiety from divorce, new home, new job and dealing with a severely depressed ex-spouse (who is now on Effexor).",anxiety,vivid dreaming,,,,,,,,
8,lexapro.201,8,The Lexapro has helped me to keep from dwelling on things I can't change.,dwelling on things I can't change,,,,,,,,,
2,lexapro.202,2,"Lexapro really helps anxiety, Depression too.",anxiety,depression,,,,,,,,
2,lexapro.204,2,"took l0 mg lexapro in combination with .5 klonpin 3x a day, eliminated a cycle of depression and anxiety I had for 2 yrs.",depression,anxiety,,,,,,,,
3,lexapro.205,3,My anxiety is almost completely gone and my depressed mood has mostly lifted.,anxiety,depressed mood,,,,,,,,
2,lexapro.207,2,I have been taking meds for 6 years to treat anxiety and depression.,anxiety,depression,,,,,,,,
5,lexapro.208,5,I don't cry about every little thing anymore.,crying,,,,,,,,,
6,lexapro.208,6,I don't have the night sweats or fits of rage anymore.,night sweats,fits of rage,,,,,,,,
2,lexapro.209,2,"At 20 mg, depression was completely under control, but had weight gain and mild insomnia, o",depression,,,,,,,,,
4,lexapro.211,4,"I could hardly get out of bed I would have lost my job, because I had already called in to work a bit and was unable to function before I started lexapro.",hardly get out of bed,unable to function,,,,,,,,
2,lexapro.212,2,"I have a feeling of wellness and contentment; no anxiety attacks, no weight gain, no night sweats - i just feel like my old self - optimistic and upbeat.",anxiety attacks,weight gain,night sweats,,,,,,,
5,lexapro.213,5,"It worked at 10mg, but only relieved about 50% of a very severe depression.",very severe depression,,,,,,,,,
6,lexapro.213,6,Increased to 20mg 3 months ago and it fully resolved my depression.,depression,,,,,,,,,
3,lexapro.217,3,"Suffered from sporadic depression/anxiety for over 20 years, and had been in and out of counseling for about 18 years before trying lexapro.",depression,anxiety,,,,,,,,
2,lexapro.218,2,Effective in reducing anxiety and depression in less than a week.,anxiety,depression,,,,,,,,
1,zoloft.5,1,"Took the pill for depression for a year and a half, extreme weight gain, no sex drive, even more depressed",depression,depressed,,,,,,,,
9,zoloft.12,9,Zoloft was prescribed to me to help with depression and if I knew that there were reported cases that this anti-depressant could increase the risk of suicide I NEVER would have agreed to take the medication.,depression,,,,,,,,,
4,zoloft.15,4,this drug works well for my dad with unipolar major depression.,unipolar major depression,,,,,,,,,
4,zoloft.26,4,I was severly depressed and breast-feeding my son so this was the only option I had at the time (it is considered safe for nursing babies).,depressed,,,,,,,,,
3,zoloft.45,3,"My depression was eleviated but I still wasn't myself, even when I went up to 200 mg.",depression,,,,,,,,,
4,zoloft.50,4,Anxiety is gone but still feel down. ,anxiety,,,,,,,,,
2,zoloft.53,2,Zoloft did help with my anxiety but the side effects were just to much to handle to the point that I would rather live with anxiety than to live with these ugly side effects.,anxiety,,,,,,,,,
4,zoloft.58,4,"It did, however, fix the seratonin related imbalance, such as excessive crying and worrying.",excessive crying,worrying,,,,,,,,
5,zoloft.61,5,"I found this drug to not do much in the way of improving my anxiety problem, although it did work very well on depression.",anxiety,depression,,,,,,,,
2,zoloft.62,2,"I originally was on Zoloft for two or three years and then stopped taking it, but had started to develop symptoms of depression again about 2 1/2 years ago.",depression,,,,,,,,,
9,zoloft.62,9,"Despite the side effects, I have found Zoloft helpful in keeping my moods moderated, especially when I feel low (though, on the other hand, I also don't really ever feel extremely happy on it either).",feel low,,,,,,,,,
3,zoloft.63,3,"zoloft worked wonders for my depression,but after gaining a ton of weight and losing the desire to be intimate with my husband i have switched to wellbutrin xl.",depression,,,,,,,,,
1,zoloft.65,1,The first time I took Zoloft was for depression and explosive anger when I was 19 and it worked like a dream.,depression,explosive anger,,,,,,,,
2,zoloft.66,2,"i think there are better drugs out there now to treat anxiety and depression, this drug has far too many side effects for anyone to feel comfortable taking it.",anxiety,depression,,,,,,,,
4,zoloft.66,4,thoughts of suicide decreased.,thought of suicide,,,,,,,,,
9,zoloft.66,9,in conclusion there are better drugs out there to treat depression.,depression,,,,,,,,,
4,zoloft.71,4,But it did help with depression.,depression,,,,,,,,,
2,zoloft.74,2,I only take it now when I am having a particularly BAD day (suicidal).,suicidal,,,,,,,,,
4,zoloft.75,4,It seemed to stop severe depression and helped my mood enough so that with counselling and support I could eventually get on with my life.,severe depression,,,,,,,,,
4,zoloft.77,4,During the first month or so I noticed a definite decrease in my anger and anxiety.,anger,anxiety,,,,,,,,
7,zoloft.77,7,"My anxiety is more under control, but not gone.",anxiety,,,,,,,,,
2,zoloft.78,2,Helped with depression but total lack of desire for sex,depression,,,,,,,,,
2,zoloft.82,2,I was put on Zoloft for severe depression.,severe depression,,,,,,,,,
3,zoloft.82,3,It has worked for my depression but the Dr. told me that it would help my RLS.,depression, RLS,,,,,,,,
7,zoloft.82,7,But it works great for my depression,depression,,,,,,,,,
4,zoloft.83,4,I have also noticed that my mood has improved and I'm not weepy like before.,mood has improved,weepy,,,,,,,,
4,zoloft.85,4,"The depression lifted a bit but the anxiety, head pressure, dizziness, insomnia were unbearable.",depression,,,,,,,,,
2,zoloft.87,2,For treating major depression.,depression,,,,,,,,,
2,zoloft.90,2,"Has helped me with my anxiety and depression, though I still do worry alot, maybe more than before.",anxiety,depression,,,,,,,,
3,zoloft.91,3,took away all the depression I was experiencing for three months.,depression,,,,,,,,,
4,zoloft.91,4,"after 2 years, I built up a tolerance and had to increase it from 50 mg to 100 mg. the depression was creeping back again.",depression,,,,,,,,,
4,zoloft.92,4,It has also helped me out of a deep depression that zoloft could not do.,depression,,,,,,,,,
9,zoloft.94,9,"It did only allow me to think about one subject at a time other than my previous 9,846 thoughts in 2 minutes.","9,846 thoughts in 2 minutes",,,,,,,,,
2,zoloft.95,2,Was placed on Zoloft after suicide attempt.,suicide attempt,,,,,,,,,
4,zoloft.95,4,"Zoloft helped balance my mood after about a month, but the mania made my life more difficult.",balance my mood,,,,,,,,,
3,zoloft.99,3,"I guess that's always better than feeling suicidal, right?",feeling suicidal,,,,,,,,,
2,zoloft.100,2,The first few months i was on Zoloft my depression and anxiety were definitely lifted.,depression,anxiety,,,,,,,,
2,zoloft.104,2,Within a week I felt my energy level increase and depressed/suicidal thoughts decrease.,depressed,suicidal thoughts,energy level increased,,,,,,,
3,zoloft.104,3,"After a month some of the anxiety and self-destructive urges returned, but I feel more able to manage these episodes and they are less crushing.",anxiety,self-destructive urges,,,,,,,,
5,zoloft.104,5,"I still feel like ""myself"" but just less miserable and irritable.",miserable,irritable,,,,,,,,
8,zoloft.104,8,It has really helped for symptoms of depression and with less side affects than I was afraid of.,depression,,,,,,,,,
3,zoloft.108,3,"I stuck with it, and now I am realizing what a sad, pathetic, lonley, afraid, antisocial, hermit I used to be.",sad,pathetic,lonley,afraid, antisocial,hermit,,,,
6,zoloft.112,6,"However, having severe depression, I had no choice but to stick with it Slow titration helped a lot.",depression,,,,,,,,,
8,zoloft.112,8,Now depression-free for 5 years or so.,depression,,,,,,,,,
4,zoloft.113,4,My depression was gone until after about 5 months then the Zoloft just stopped working.,depression,,,,,,,,,
12,zoloft.113,12,It helpped me to feel the appropriate feelings for a situation instead of the all consuming feelings of doom and self loathing.,feelings of doom,self loathing,,,,,,,,
13,zoloft.113,13,Without antidepressants I am sure I would have kiled myself by now.,kiled myself,,,,,,,,,
3,zoloft.115,3,I no longer cry everyday and think of suicide everyday.,cry everyday, think of suicide,,,,,,,,
9,zoloft.116,9,"I must say that I noticed a dramatic difference- I'm always tired because of night shift, but I feel NO depression.",depression,,,,,,,,,
11,zoloft.116,11,"I stated I feel apathy, but I believe its because I feel apathy towards things that used to make me sad and depressed, and anxious.",sad,depressed,anxious,,,,,,,
12,zoloft.116,12,"As far as my OCD, I have less trouble dealing with my intrusive thoughts and am not a nervous wreck following my episodes.",OCD,intrusive thoughts,nervous,,,,,,,
2,zoloft.121,2,This medication has turned my life around; I'd been suffering from moderate to severe depression for decades and was afraid to take antidepressents until my doctor convinced me to at least try Zoloft for a while.,severe depression,,,,,,,,,
2,zoloft.123,2,Before being prescribed Zoloft I was very depressed and suicidal.,depressed,suicidal,,,,,,,,
3,zoloft.123,3,"After a few weeks on Zoloft it was amazing to me the way I felt (that is , not constantly depressed).",depressed,,,,,,,,,
2,zoloft.124,2,"The first 3 weeks of Zoloft (25mg), the anxiety had pretty much subsided (the clenched feeling in my chest was gone!",anxiety,clenched feeling in my chest,,,,,,,,
8,zoloft.124,8,"Here- sometimes I felt more depressed, lethargic, and would get upset at things that normally wouldnt upset me, or felt too ""whatever happens is fine"" Went back down to 50mg 2x a week, 25mg5x a week.",depressed,lethargic,upset,,,,,,,
12,zoloft.124,12,"Also, my feeling of being able to trust others improved (guess I had mild paranoia that I didnt know I had).",paranoia,,,,,,,,,
2,zoloft.126,2,It worked better than any other medication I have ever taken for depression.,depression,,,,,,,,,
4,zoloft.127,4,"This medication is supposedly supposed to help with anxiety, but for me, I have to take a second medication for that.",anxiety,,,,,,,,,
4,zoloft.130,4,Zoloft has made all the difference in my life: I'm no longer depressed.,depressed,,,,,,,,,
8,zoloft.135,8,It helped get rid of the depression yet I still felt completely myself - not like a zombie at all.,depression,,,,,,,,,
6,zoloft.137,6,It helped a lot at the beginning when I had anxiety attacks and depression.,anxiety attacks,depression,,,,,,,,
4,zoloft.139,4,I started taking zoloft for depression and insomnia.,depression,insomnia,,,,,,,,
5,zoloft.139,5,"Thankfully, it took care of insomnia from the very first night.",insomnia,,,,,,,,,
15,zoloft.139,15,"Zoloft helped me a great deal, really helped me get out of a deep depression.",deep depression,,,,,,,,,
