id,drug_id,sentence_index,sentences,SSI1,SSI2,SSI3,SSI4,SSI5,SSI6,SSI7,SSI8,SSI9,SSI10
30,lexapro.50,3,"AND CALLED 911)  I started on 10 and I felt very depressed still, actually worse, panicky and extremely anxious, then the pdoc doubled my dose to 20!",depressed,,,,,,,,,
31,lexapro.53,4,"I do not feel any better, I still have anxiety, severe foul moods, complete negative outlook on life.",anxiety,foul mood,negative outlook on life,,,,,,,
32,lexapro.57,2,"It certainly erased the anxiety, but I hardly feel human anymore.",anxiety,,,,,,,,,
33,lexapro.57,5,I'll take depression any day over this.,depression,,,,,,,,,
34,lexapro.58,6,Now my anxiety is up but my depression is decreasing.,anxiety,depression,,,,,,,,
35,lexapro.58,8,I feel like im on a seesaw teetering between anxious and depressed.,anxious,depressed,,,,,,,,
36,lexapro.61,1,"increased anxiety, more panic attacks, uncontrollably bursting into tears.",anxiety,panic attacks,,,,,,,,
37,lexapro.62,4,Anxiety got worse.,anxiety,,,,,,,,,
38,lexapro.62,12,"I had more anxiety attacks, acting out on loved ones.",anxiety attacks,,,,,,,,,
39,lexapro.64,5,I don't know if Lexapro helps with depression.,depression,,,,,,,,,
40,lexapro.64,7,I tried it because my bipolar manifests as depression for the winter months.,bipolar,depression,,,,,,,,
41,lexapro.64,8,"All that changed was that I got fat and unable to poop, neither a known depression cure.",depression,,,,,,,,,
42,lexapro.67,1,"At first my anxiety increased for the first week or so, but 0.25mg Xanax controlled that.",anxiety,,,,,,,,,
43,lexapro.68,7,Helpful with anxiety.,anxiety,,,,,,,,,
44,lexapro.69,5,"Lexapro really helps with my anger problem, especially toward my kids and husband.",anger,,,,,,,,,
45,lexapro.69,6,"I did go off for a month and the inappropriate anger came right back so now I'm thinking of switching to another SSRI that doesn't cause back pain, cysts and itching, not to mention wanting to sleep 13 hours a night.",anger,,,,,,,,,
46,lexapro.70,3,I started on 10mg and continued to have anxiety so the dosage was increased.,anxiety,,,,,,,,,
47,lexapro.70,13,"I would like to try a different antidepressant because the loss of motivation and being tired all the time is making me feel lazy, worthless, and almost as depressed as before I started taking it.",depressed,,,,,,,,,
48,lexapro.71,1,"Initially, Lexapro seemed to agree with me except for the occasional bad nightmare, Now, after 4 years of use, I am no longer depressed, but I am exhausted all the time.",depressed,,,,,,,,,
49,lexapro.72,1,I often contemplate suicide Not sure whether I'll overcome that.,suicide,,,,,,,,,
50,lexapro.75,3,"I basically needed to use it to get rid of a severe anxiety that I let gradually build up on its own before I did anything about it, but I could feel it working in situations where I would normally get a little anxious as well.",anxiety,anxious,,,,,,,,
51,lexapro.77,3,"And I gained 24 pounds, have no sexual desire and still have moody days.",moody ,,,,,,,,,
52,lexapro.79,2,Its early days so far but I do think it has taken the edge of my anxiety and obsessing.,anxiety,obsessing,,,,,,,,
53,lexapro.79,3,The depression is so terrible that I am very keen to give Lexapro a fair try.,depression,,,,,,,,,
54,lexapro.80,2,I would say that the drug did remove the initial anxiety and depression I was feeling.,anxiety,depression,,,,,,,,
55,lexapro.80,3,It did not help improve my memory nor do anything for my social anxiety though.,social anxiety,,,,,,,,,
56,lexapro.81,2,Anxiety is still there.,anxiety,,,,,,,,,
57,lexapro.84,2,"Worked really well first six months or so for my depression but after several freaky alcohol incidents where I drank 3-4 glasses of wine and then blacked out completely, I cut down my dosage from 20 to 10 mg and plan to go back on Welbutrin at my next doctor's consult.",depression,,,,,,,,,
58,lexapro.85,2,It is now back to 112/72)  Lexapro worked great for my depression after only 2 days.,depression,,,,,,,,,
59,lexapro.85,3,"It did not do a lot for the anxiety initially, but I only took 3)  The blood pressure issue, however, was enough to make my psychiatrist encourage me to stop.",anxiety,,,,,,,,,
60,lexapro.87,2,"Not sure if Lexapro really helped with my depression and anxiety, fortunately have a good therapist and positive environmental changes.",depression,anxiety,,,,,,,,
61,lexapro.89,2,Lexapro is a good drug for anxiety.,anxiety,,,,,,,,,
62,lexapro.89,4,I didn't really feel many benefits for my depression though.,depression,,,,,,,,,
63,lexapro.90,2,"Lexapro has helped with my depression, but not so much the anxiety.",depression,anxiety,,,,,,,,
64,lexapro.91,3,"I will be going back to the doctor in 2 weeks, I am on 10 mg and I think we will have to go to 20mg, because I still feel anxious (chest is tight, heavy sighing.).",anxious,chest is tight,heavy sighing,,,,,,,
65,lexapro.92,1,"first day or two- felt ""out of it"", extreme fatigue, Currently (3 wks), I am having bruising, hair loss, fatigue, can't sleep through the night, increased anxiety when I wake, jaw clenching, and difficulty having orgasm.",anxiety,,,,,,,,,
66,lexapro.92,2,"I really didn't think that I was depressed, but I think since taking the Lexapro, my mood has lifted.",depressed,mood has lifted,,,,,,,,
67,lexapro.92,4,"My anxiety improved slightly for a week, but this week seems to be worse than ever.",anxiety,,,,,,,,,
68,lexapro.92,6,Years ago I was treated for depression and took Prozac.,depression,,,,,,,,,
69,lexapro.92,8,"Since anxiety was the main issue this time, I didn't push for the Prozac.",anxiety,,,,,,,,,
70,lexapro.93,3,Nausea; vomiting; suicidal thoughts; slight schizophrenia; tremors; increased anxiety; agitation resulting in violent thoughts; psychosis.,anxiety,,,,,,,,,
71,lexapro.93,4,"This medication orginally did wonders for my wellbeing and anxiety, However, I needed to come off it as it often impaired my memory .",anxiety,,,,,,,,,
72,lexapro.95,1,I must say that this medication helped with depression.,depression,,,,,,,,,
73,lexapro.95,2,Right after i started it my crying spells stopped and suicidal thoughts were gone.,crying spells,suicidal thoughts,,,,,,,,
74,lexapro.95,4,"I have goten much calmer and was able to to face day to day problems without huge anxiety and stress, So overall .",anxiety,stress,,,,,,,,
75,lexapro.99,2,The following day had increased anxiety and restlessness.,anxiety,restlessness.,,,,,,,,
76,lexapro.99,15,I should also note that I had no problems with depression (just normal low moods occasionally) before I started pe,depression,low moods,,,,,,,,
77,lexapro.101,1,"At 10mg/day for 2 months, my depression persisted and my doctor increased me to 20mg/day.",depression,,,,,,,,,
78,lexapro.101,4,"This was only acceptable because my depression symptoms went away,completely.",depression,,,,,,,,,
79,lexapro.102,2,It's six days now and the obsessive endless thoughts about a bad event in my life are already subsiding.,obsessive endless thoughts,,,,,,,,,
80,lexapro.103,2,It worked for my anxiety for a year and then it stopped.,anxiety,,,,,,,,,
81,lexapro.103,5,"It wasn't really helpful for my depression, but then again none of the SSRIs were.",depression,,,,,,,,,
82,lexapro.106,3,"Kind of a relief from racing thoughts, but scary because I might as well be in a coma.",racing thoughts,,,,,,,,,
83,lexapro.106,5,"I like not feeling depressed, but I feel like I am being made to feel happy against my will.",feeling depressed,,,,,,,,,
84,lexapro.107,2,"I had to stop taking citalopram because highest dose stopped working for MDD, panic, and anxiety.",MDD,panic,anxiety,,,,,,,
85,lexapro.107,3,"This means fibromyalgia pain is back with a vengeance, However, I no longer am suicidal and this got rid of a 4-day-long panic attack within 1 day of commencing.",fibromyalgia ,suicidal,panic attack,,,,,,,
86,lexapro.107,4,"I deal with massive exhaustion from FMS, pmdd, shingles, and EDS, and this has made it worse, though I'm making it through work.",exhaustion, FMS,pmdd,shingles,EDS,,,,,
87,lexapro.108,2,"I started taking lexapro to help with depression,I think for me its depression that leads to my anxiety,not the other way around.",depression,depression,anxiety,,,,,,,
88,lexapro.108,3,I still have a hard time getting up in the morning.,hard time getting up in the morning,,,,,,,,,
89,lexapro.108,4,My outlook is depressing.,outlook is depressing,,,,,,,,,
90,lexapro.109,5,"It has definately helped with my uncontrollable crying and incesant thoughts about death, However, the main reason I take it is for anxiety.",uncontrollable crying,incesant thoughts about death,anxiety,,,,,,,
91,lexapro.109,7,"I've also gained about 60 pounds because I became more depressed and freaked out, leading me to just give up on a healthy lifestyle as well as failing an entire semester at my university.",depressed,,,,,,,,,
92,lexapro.110,1,"light headed and increased anxiety the first few days, then subsided.",anxiety,,,,,,,,,
93,lexapro.110,3,stopped using lexapro for 4 months or so and became extremely depressed again.,depressed,,,,,,,,,
94,lexapro.111,3,I suffered from depression since high school but was able to function very well/my feelings got hurt easily and my depression worsened before my period/over the last two years my depression became a daily hindrance with a lot of crying and negative thinking.,depression,feelings got hurt easily,depression,depression,lot of crying,negative thinking,,,,
95,lexapro.114,9,"My emotions feel muted, and my former compulsiveness is replaced with listlessness.",compulsiveness,,,,,,,,,
96,lexapro.114,10,"I am not depressed, but I feel that life is without excitement.",depressed,,,,,,,,,
97,lexapro.115,3,"My life is easier, lighter, I'm capable of working out the issues that lead me to depression, when before all I could do was cry.",depression,cry,,,,,,,,
98,lexapro.118,2,Lexapro keeps me out of deep depression.,deep depression,,,,,,,,,
99,lexapro.118,4,"I still have down days, and am frequently moody, But, life is better with it than without it.",down days,moody,,,,,,,,
100,lexapro.119,3,Before I was barely functional and honestly might not be here.,barely functional,,,,,,,,,
101,lexapro.120,3,10mgs daily Lexapro has helped my anxiety and has chilled me out.,anxiety,chilled me out,,,,,,,,
102,lexapro.120,4,I don't get as upset about things nor do I worry myself crazy anymore.,upset,worry,,,,,,,,
103,lexapro.120,10,My mood is definitely lifted although my energy is really low.,energy is really low,,,,,,,,,
104,lexapro.121,7,"Over the 10 years, it has done a great job at lowering my anxiety and evening me out.",anxiety,evening me out,,,,,,,,
105,lexapro.122,2,Works well for depression and anxiety.,depression,anxiety,,,,,,,,
106,lexapro.123,3,"life saver for ""intrusive thoughts"" brought on by anxiety",intrusive thoughts,anxiety,,,,,,,,
107,lexapro.124,3,"Lexapro has been great as far as balancing out my mood, and making me feel much less anxious and happy overall, However, the drowsiness is becoming a pretty big problem, especially when I am sleeping an average of 12 hours a day (mostly in 4-5 hour naps).",anxious,,,,,,,,,
108,lexapro.126,2,"I was very suicidal when put on Lexapro and it helped me relax a great deal, I was so much more happy on it but had to stop taking it due to it causing hair loss and it killed my sex drive and feeling.",suicidal,,,,,,,,,
109,lexapro.128,3,It has helped me so much and the depression and anxiety are gone.,depression,anxiety,,,,,,,,
110,lexapro.129,2,Helped with depression after postpartum but I am considering trying to stop due to severe night sweats & cost of Lexapro.,depression after postpartum,,,,,,,,,
111,lexapro.130,3,"I started this six months ago amidst a battle with depression, in addition to having bulimia and trichotillomania.",depression,bulimia,trichotillomania,,,,,,,
112,lexapro.130,5,"I lost my mother three months ago, and I don't know what I would have done if I weren't already on Escitalopram.",lost my mother,,,,,,,,,
113,lexapro.130,6,No urge to return to my old habits despite my unbelievable stress level.,unbelievable stress level,,,,,,,,,
114,lexapro.131,4,I've tried quite a few antidepressants and this one seems to be the one that handles my depression and I can live with the side effects.,depression,,,,,,,,,
115,lexapro.133,2,"increase in anxiety, weird floating feeling, sweaty palms, nausea, heartburn, waking up in middle of night for no reason, sexual performance issues.",anxiety,,,,,,,,,
116,lexapro.133,5,"Before taking Lexapro, I was having panic attacks at least twice a week.",panic attacks,,,,,,,,,
117,lexapro.133,6,I went along hoping against hope that the panic attack I had one day would be the last one.,panic attack,,,,,,,,,
118,lexapro.133,9,"It was getting quite debilitating because my work requires driving to different places at times, Now, for the 10 months I've been taking Lexapro, I've only had three instances where I could feel myself going into a panic attack .",panic attack,,,,,,,,,
119,lexapro.133,16,The alternative right now would be having the weekly panic attacks again which I am in no mood to continue.,panic attacks,,,,,,,,,
120,lexapro.133,17,I also notice not worrying so much anymore about things .,worrying,,,,,,,,,
121,lexapro.133,18,"I used to worry about everything, Problems don't seem so overwhelming.",worrying,Problems seem so overwhelming,,,,,,,,
122,lexapro.133,19,I also have noticed that I don't get so upset and rattled by other people's rudeness or nasty comments anymore.,upset,rattled,,,,,,,,
123,lexapro.134,2,"Once the Med had firmly taken hold of me, my life turned from one full of anxiety, fear and depression, too one of absolute fulfillment and happiness.",anxiety,fear,depression,,,,,,,
124,lexapro.135,2,I'm bipolar and was experiencing major depression despite my antibipolar meds (which luckily stopped the manic episodes).,bipolar,major depression,manic episodes,,,,,,,
125,lexapro.135,3,lexapro has caused NO mania and has really helped the depression-i no longer want to kill myself everyday.,depression,want to kill myself,,,,,,,,
126,lexapro.137,3,"It helped my depression tremendously, but sexual side effects are severe in my case.",depression,,,,,,,,,
127,lexapro.138,3,"Possible side affect was reduced sexual desire, but my doctor said this could be just from the depression and stress itself.",depression,stress,,,,,,,,
128,lexapro.139,2,I initially took Lexapro at 10mg with my Wellbutrin in order to stop a debilitating depressive episode from progressing.,debilitating depressive episode,,,,,,,,,
129,lexapro.139,5,"After about 4 months of being off, I noticed my irritability and anxiety increasing, so my new doc suggested a measly 2.5 mg dosage.",irritability,anxiety,,,,,,,,
130,lexapro.139,9,because we were severely depressed or ridden with debilitating anxiety that affected us living a good quality of life.,severely depressed,debilitating anxiety,,,,,,,,
131,lexapro.139,11,"When my side effects are difficult to deal with, I remember that a debilitating major depressive episode, wanting to curl up and die, is FAR worse and I am thankful that I have options to help me live a normal life.",debilitating major depressive episode,wanting to curl up and die,,,,,,,,
132,lexapro.140,5,For me it became a question of balance: Lexapro side effects vs. depression and its side effects.,depression,,,,,,,,,
133,lexapro.140,6,"After 1 1/2 years on Lexapro, I believe that it has a very short shelf life, less than 30 days, and is extremely sensitive to temperature/humidity fluctuations & extremes, Every month, when I'm down to my last 3-8 pills of my supply, I notice that I get depressed often and have sudden mood swings.",depressed,mood swings,,,,,,,,
134,lexapro.140,9,"I'm a stay-at-hme-dad of toddler & infant and am glad that I'm not depressed with anxiety while raising them, That said, I can't wait until I'm ready to stop, WEIGHT GAIN: 6,7%",depressed,anxiety,,,,,,,,
135,lexapro.141,10,"It has calmed my anxiety down alot, before I could hardly bare to be social,social situations just scared me to death.",anxiety,could hardly bare to be social,social situations just scared me,,,,,,,
136,lexapro.141,11,I would usually leave class early because being around others gave such horrible panic attacks.,being around others gave such horrible panic attacks,,,,,,,,,
137,lexapro.141,13,"I've been trying my best to bury my depression down,things in my past,such as abuse,rings I did not want to deal with.",depression,,,,,,,,,
138,lexapro.141,14,"Depression also runs in my family,my grandmother ,84, Has finally taken anti depressants.",Depression,,,,,,,,,
139,lexapro.141,18,"I began to cut,and attempted suicide several times,I've been self harming since I was a kid.",cut,attempted suicide,self harming,,,,,,,
140,lexapro.141,19,"ive been unable to be in health relationships because of my fears,and would someday like a to jave a decent relationship.",unable to be in health relationships,fears,,,,,,,,
141,lexapro.143,4,I feel like myself and don't get upset or angry as easily., upset,angry,,,,,,,,
142,lexapro.146,2,I started taking 10 mg lexapro after I developed post natal depression.,post natal depression,,,,,,,,,
143,lexapro.146,3,I have suffered depression anxiety and panic attacks in the past.,depression,anxiety,panic attacks,,,,,,,
144,lexapro.146,5,It made me feel so much better and completely stopped the anxiety and panic attacks.,anxiety,panic attacks,,,,,,,,
145,lexapro.150,4,I'm no longer worrying about the next time I'm going to get depressed or have a panic attack.,worrying,depressed,panic attack,,,,,,,
146,lexapro.150,7,"I resisted taking this medicine at first, but decided it was for the best when my depression and anxiety started getting in the way of my functioning normally.",depression,anxiety,,,,,,,,
147,lexapro.152,1,"constipation, fatigue, weight gain, blocked tears and sad feelings that still existed inside of me.",sad feelings,,,,,,,,,
148,lexapro.152,2,"I took Lexapro together with Wellbutrin to ""correct"" concurrent depression and anxiety.",depression,anxiety,,,,,,,,
149,lexapro.152,3,"At the time I started the drugs, I was in a major depression.",depression,,,,,,,,,
150,lexapro.153,6,"I've been more socially confident, been told for the first time that I'm outgoing, and haven't had as much anxiety.",anxiety,,,,,,,,,
151,lexapro.153,10,"Although I took my missed dose this afternoon, the symptoms are lingering, Rather disturbing, and I wonder how the hell I'm going to get off this stuff, But Lexy's different for everyone, and it certainly has helped out with my anxiety.",anxiety,,,,,,,,,
152,lexapro.154,2,This drug worked very well for anxiety and mild depression.,anxiety,depression,,,,,,,,
153,lexapro.154,6,I was actually able to overcome a long-standing fear of flying.,long-standing fear of flying,,,,,,,,,
154,lexapro.156,4,It has really helped with my depression and my ability to handle things.,depression,,,,,,,,,
155,lexapro.156,5,"My anxiety is much calmer, although still present.",anxiety,,,,,,,,,
156,lexapro.156,6,"I haven't had any episodes or panic attacks since I started it, except for a three day period when I couldn't get my prescription refilled, so went without.",panic attacks,,,,,,,,,
157,lexapro.158,3,Most of the fatigue passed after a week or so., fatigue ,,,,,,,,,
158,lexapro.158,4,I've found that the side effects are tolerable in exchange for the remarkably stable feeling I have and the absence of any depression or suicidal thoughts.,depression,suicidal thoughts,,,,,,,,
159,lexapro.159,3,"Still have some depression symptoms (crying, etc), but it takes the edge away for the most part.",depression,crying,edge,,,,,,,
160,lexapro.160,4,Social anxiety is gone and im feeling good helped me with withdrawal symptoms from alcohol and marijuana use.,social anxiety,,,,,,,,,
161,lexapro.160,5,Used to have severe depression now i dont.,depression,,,,,,,,,
162,lexapro.160,6,Suggest use for anyone who has anxiety in social environments.,anxiety in social environments,,,,,,,,,
163,lexapro.162,5,"His notion is validated by my increased ability to sleep, which is never possible if I'm anxious.",increased ability to sleep, anxious,,,,,,,,
164,lexapro.163,3,Had descended to an all time low in self-loathing.,all time low,self-loathing,,,,,,,,
165,lexapro.164,6,At times I felt very anxious for no reason and at different times in the day but these negative side effects paled next to the depression i was stuck in before lexapro.,depression,,,,,,,,,
166,lexapro.165,3,I feel more energetic and my anxiety is now manageable.,anxiety,,,,,,,,,
167,lexapro.166,3,It really helped my OCD.,OCD,,,,,,,,,
168,lexapro.166,4,Without it I would still be counting every single footstep and rechecking EVERYTHING in my apartment.,counting every single footstep,rechecking EVERYTHING in my apartment,,,,,,,,
169,lexapro.166,5,Really I only wash my hands like 100x a day now.,wash my hands like 100x,,,,,,,,,
170,lexapro.167,9,I continue to take it because I was diagnosed with clinical depression 9 years ago and I don't plan on stopping.,clinical depression,,,,,,,,,
171,lexapro.168,8,barely any anxiety or major depression symptoms which has made it easier to deal with the physical side effects.,anxiety,depression,,,,,,,,
172,lexapro.169,4,"i have taken it for 2 years and feel great, very little to no anxiety at all, some weight gain.",anxiety,,,,,,,,,
173,lexapro.169,5,"i not fixated on stupid things that dont really matter,just got over battle with kidney cancer, ok now and loving life, people , dont sweat the little things in life that we dont have any control over, your just waisting brain cells.",fixated on stupid things,sweat the little things,,,,,,,,
174,lexapro.172,1,After taking this medication 2.5mg for 2 days my feelings of shock and depression are subsiding and I am feeling better.,feelings of shock,depression,,,,,,,,
175,lexapro.173,2,"GAD is generalized anxiety disorder and depression, is well, depression.",GAD,generalized anxiety disorder,depression,depression,,,,,,
176,lexapro.173,3,"I am sleeping better than ever before, no pounding heart.",sleeping better,pounding heart,,,,,,,,
177,lexapro.173,4,"My follow through is great, where as I used to be flaky and couldn't be counted on, Lexapro has changed all that - now I'm dependable",flaky,couldn't be counted on,,,,,,,,
178,lexapro.175,1,"increased anxiety, sleeplessness, increased appetite, increased sensitivity, BUT only for first few weeks of upping dosage.",anxiety,sensitivity,,,,,,,,
179,lexapro.175,10,My depression is at an all-time low and my anxiety getting better.,depression,anxiety,,,,,,,,
180,lexapro.175,11,I have relied on Xanax to calm my panic attacks and now slowly weaning off of it due to the Lexapro!,panic attacks,,,,,,,,,
181,lexapro.176,3,"It may have been placebo effect, but I felt relief from anxiety after my second pill.",anxiety,,,,,,,,,
182,lexapro.176,7,"I feel as though I've been disconnected from life for so long, now I feel much more like I can live in the moment.",disconnected from life,,,,,,,,,
183,lexapro.178,17,I started taking this for my Post Partum.,Post Partum,,,,,,,,,
184,lexapro.178,18,I was to the point that if I even looked at my baby or heard his voice I wanted to vomit.,looked at my baby or heard his voice I wanted to vomit,,,,,,,,,
185,lexapro.178,19,I wanted nothing to do with him.,wanted nothing to do with him,,,,,,,,,
186,lexapro.178,20,I wanted him away from me as far as possible., wanted him away from me as far as possible,,,,,,,,,
187,lexapro.178,24,I felt so much better but I still had the feeling of uneasiness.,feeling of uneasiness,,,,,,,,,
188,lexapro.179,10,"I now feel so much calmer and happier, no anxiety attacks or feelings of dread.",anxiety attacks,feelings of dread,,,,,,,,
189,lexapro.179,14,"The fatigue and sleepiness is a pain, but am willing to put up with it as it beats not being able to get out of bed.",not being able to get out of bed,,,,,,,,,
190,lexapro.180,4,It has reduced my anxiety attacks to near nothing!,anxiety attacks,,,,,,,,,
191,lexapro.180,5,"Automatic anxiety occasions (elevator rides, big crowds) now don't trigger automatic responses, which helps a ton.",Automatic anxiety occasions,,,,,,,,,
192,lexapro.182,6,"Struggled with a horrible cycle of insomnia, anxiety, depression, life changes and hormonal changes for a year.",horrible cycle of insomnia,anxiety,depression,,,,,,,
193,lexapro.182,8,"Within a week I felt like my old self but even better, The worries, and the major (and i mean MAJOR deep dark hole depression) I experienced (especially PMS depression) is gone and has stayed gone.",worries,depression,PMS depression,,,,,,,
194,lexapro.183,2,Overall does help my depression.,depression,,,,,,,,,
195,lexapro.186,3,I took this because I began to have severe panic attacks and issues with depression.,panic attacks,depression,,,,,,,,
196,lexapro.187,2,Gave me my life back after completely breaking down six months ago.,breaking down,,,,,,,,,
197,lexapro.187,3,Helped not only with the issues I was immediately experiencing (extreme panic and hypochondria) but long-standing social anxiety and obsessive thoughts have also been relieved.,panic,hypochondria,social anxiey,obsessive thoughts,,,,,,
198,lexapro.187,4,Still have mild depression.,depression,,,,,,,,,
199,lexapro.189,1,Originally I was prescribed Zoloft for depression & anxiety attacks and was given 50mg dose from the start.,depression,anxiety attacks,,,,,,,,
200,lexapro.189,10,"Social, happy to have company, emotionally well & stable, Again, woke up at 4am (no anxiety) for no reason but fell asleep an hour later.",anxiety,,,,,,,,,
201,lexapro.193,6,I was on Wellbutrin prescribed by my PCP but she sent me to a psychiatrist because I was still very depressed.,depressed,,,,,,,,,
202,lexapro.193,7,"The psychiatrist prescribed Lexapro because I was also having severe mood swings and rage along with the depression, completely stressed out and unhappy.",mood swings,rage,depression,stressed out,unhappy,,,,,
203,lexapro.193,10,"I feel hopeful and happy and content, the kids' antics don't wig me out like they used to.",kids' antics wig me out,,,,,,,,,
204,lexapro.193,11,"The fact that I am sleeping better, too, is a bonus, because I was having a terrible time sleeping more than three hours at a time and spent a couple of hours each night tossing and turning, Not anymore!",terrible time sleeping more than three hours at a time,spent a couple of hours each night tossing and turning,,,,,,,,
205,lexapro.194,6,"If you have an ""inner critic"", it takes that voice away and you feel like you're allowed to feel happy again.",inner critic,,,,,,,,,
206,lexapro.194,10,"The depression took about for months after to come back, Not pleasant.",depression,,,,,,,,,
207,lexapro.195,1,"Help with anxiety and depression (bipolar related) Had dry mouth for a month when first starting it, None",anxiety,depression,bipolar,,,,,,,
208,lexapro.196,1,"Slight headache, upset stomach, decreased libidio but able to climax, slight increase in anxiety in the begining, increased dreaming.",anxiety,,,,,,,,,
209,lexapro.196,3,Since being on Lexapro my depression has lifted.,depression,,,,,,,,,
210,lexapro.196,4,It seems to be helping for anxiety as well but I also take .5mg of Klonopin twice a day.,anxiety,,,,,,,,,
211,lexapro.197,7,With my depression everything stays jumbled up in my head and Lexapro helps me sort it all out.,depression,everything stays jumbled up in my head,,,,,,,,
212,lexapro.198,4,"It really helped a lot, though my anxiety is still present it is not crippling like it used to be.",anxiety,,,,,,,,,
213,lexapro.200,4,"Reduced my anxiety and depression by at least 80%, Love it,",anxiety,depression,,,,,,,,
214,lexapro.201,7,"Sometimes I think the vivid dreaming keeps you from getting quality sleep, However, this medicine has been great-I had anxiety from divorce, new home, new job and dealing with a severely depressed ex-spouse (who is now on Effexor).",anxiety,,,,,,,,,
215,lexapro.201,8,The Lexapro has helped me to keep from dwelling on things I can't change.,dwelling on things I can't change,,,,,,,,,
216,lexapro.202,2,"Lexapro really helps anxiety, Depression too.",anxiety,depression,,,,,,,,
