id,drug_id,sentence_index,sentences,ADR1,ADR2,ADR3,ADR4,ADR5,ADR6,ADR7,ADR8,ADR9,ADR10,ADR11,ADR12,ADR13,ADR14,ADR15,ADR16,ADR17,ADR18,ADR19,ADR20,ADR21,ADR22,ADR23,ADR24,ADR25,ADR26,ADR27,ADR28,ADR29,ADR30
93,lexapro.28,4,"After a few nights of this (while feeling good during the day), the palpitations and subsequent panic were still there in the morning and continued throughout the day.",palpitations,subsequent panic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,lexapro.28,7,"and I still have occasional heart flutters, a clenched stomach, and the anxiety that goes with that.",occasional heart flutters,clenched stomach,anxiety,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,lexapro.28,8,I also think Lexapro and alcohol were a bad mix for me.,lexapro and alcohol were a bad mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,lexapro.29,1,"jittery, disconnected feelings, suicidal thoughts, unable to function.",jittery,disconnected feelings,suicidal thoughts,unable to function,,,,,,,,,,,,,,,,,,,,,,,,,,
97,lexapro.29,2,I took one dose of this med and was lucky to be able to drive home from work.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,lexapro.29,5,"Suicidal thoughts when I had NEVER had those thoughts before, Super scary.",Suicidal thoughts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,lexapro.30,1,"Insomnia, irregular heartbeat, anxiety times 1000, suicidal depression.",Insomnia,irregular heartbeat,anxiety times 1000,suicidal ,depression,,,,,,,,,,,,,,,,,,,,,,,,,
100,lexapro.30,2,I'm in serious pain right now.,serious pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,lexapro.30,3,I'm about to go to the hospital cause this drug is killing me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,lexapro.31,1,"vivid nightmares, sweats, higher anxiety levels, memory problems, concentration problems, teeth grinding and clenching of jaws.",vivid nightmares,sweats,higher anxiety levels,memory problems,concentration problems,teeth grinding,clenching of jaws,,,,,,,,,,,,,,,,,,,,,,,
103,lexapro.31,3,"I was taking 10 mg. After a lifetime of perfect dental checkups and having beautiful teeth, I now have 50 percent bone loss in my jaw because of the teeth grinding.",50 percent bone loss in my jaw,teeth grinding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,lexapro.31,4,It's signifigant to note that I had been wearing a night guard that was supposed to protect the teeth during this past year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,lexapro.31,9,Not worth the side effects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,lexapro.32,1,"Constant yawning,severe tremors,headache, lost all sex drive the first day, couldn't orgasm if I tried, terrible jaw clenching, helped somewhat with social anxiety, but general anxiety got worse, panic attacks increased,.",Constant yawning,severe tremors,headache,lost all sex drive the first day,couldn't orgasm,terrible jaw clenching,general anxiety got worse,panic attacks increased,,,,,,,,,,,,,,,,,,,,,,
107,lexapro.32,3,"The sexual side effects were supposed to be countered by the Welly, Didn't happen.",sexual side effects ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,lexapro.32,4,I have not had sex for 6 months which is putting a strain on the relationship.,have not had sex for 6 months,putting a strain on the relationship,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,lexapro.33,1,"dry mouth, severe thirst, hot flashes all over my body, tightness in my chest, severe diahrea, fuzzy mind, freaquent urination, lost 25 pounds in two weeks, muscle aches, flu like symptons, stomach cramps and tiredness.",dry mouth,severe thirst,hot flashes all over my body,tightness in my chest,severe diahrea,fuzzy mind,freaquent urination,lost 25 pounds ,muscle aches,flu like symptons,stomach cramps,tiredness,,,,,,,,,,,,,,,,,,
110,lexapro.33,2,i experienced all these symptoms after just one 10mg pill and still sufering the side effects two weeks later.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,lexapro.34,3,"i have noticed increases in my headaches, the front of my brain burns and i've noticed an increase in suicidal thoughts and anxiety.",increases in my headaches,front of my brain burns,increase in suicidal thoughts,increase in anxiety,,,,,,,,,,,,,,,,,,,,,,,,,,
112,lexapro.35,1,extreme lethargy; hungry more than usual; weight gain; zero motivation; memory issues (short term memory negatively affected); hopeless; social anxiety magnified.,extreme lethargy,hungry more than usual,weight gain,zero motivation,memory issues ,short term memory negatively affected,hopeless,social anxiety magnified,,,,,,,,,,,,,,,,,,,,,,
113,lexapro.35,2,"I took 10 mg for one month and mainly noticed the fatigue as the biggest side effect, once I was upped to 20 mg though all of the other side effects seemed to take hold of my life.",fatigue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,lexapro.36,1,"I didn't take Lexapro long enough to evaluate it for its intended purpose, because I found the sexual side effects intolerable.",sexual side effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,lexapro.36,2,"I not only lost the ability to orgasm, but stopped having even the slightest feelings of arousal.",lost the ability to orgasm,stopped having even the slightest feelings of arousal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,lexapro.36,3,"Near the end of the two weeks I could feel my frustration as a sort of dull, heavy ache in my stomach, but I couldn't do anything about it because I was basically numb, a nonsexual being.",feel my frustration ,heavy ache in my stomach,numb,nonsexual being,,,,,,,,,,,,,,,,,,,,,,,,,,
117,lexapro.36,5,"I've heard great things about what this drug can do for depression, but the side effects are a real possibility.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,lexapro.37,1,"Increased anxiety, SERIOUS constipation (for which even laxatives and epsom salts barely helped) and stomach cramping, my stomach hurt all the time, disturbed sleep and trouble falling asleep, fatigue, headaches.",Increased anxiety,SERIOUS constipation,stomach cramping,stomach hurt all the time,disturbed sleep,trouble falling asleep,fatigue,headaches,,,,,,,,,,,,,,,,,,,,,,
119,lexapro.37,3,I couldn't get past the side effects- have no idea if it would've worked for me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,lexapro.38,1,"suicidal thoughts, mood swings, difficulty to concentrate.",suicidal thoughts,mood swings,difficulty to concentrate,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,lexapro.39,1,"GAINED ONE POUND A WEEK for six months, Yep, 30 POUNDS.",GAINED ONE POUND A WEEK for six months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,lexapro.39,2,"Been off of it for eight months, now bigger, have high BP and pre-diabetes because of the weight gain.",bigger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,lexapro.39,4,"Before I got any fatter, I stopped taking it and my metabolism is MESSED UP.",metabolism is MESSED UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,lexapro.39,5,"I eat so much less than I used to, and still can't seem to lose the weight I gained while on Lexapro.",can't seem to lose the weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,lexapro.39,6,"I'd rather be normal sized and anxious than overweight, taking BP meds and insulin medication!",overweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,lexapro.40,1,Lack of care for anything important in my life.,Lack of care for anything important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,lexapro.40,2,"Lack of feeling for anything, just lived day by day.",Lack of feeling for anything,just lived day by day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,lexapro.40,3,Inability to Ejaculate during sex.,Inability to Ejaculate during sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,lexapro.40,4,"Compared to previous medication I was taking, Lexapro did in fact take away my physical pain I was suffering, but has caused so much more in emotional pain.",so much more in emotional pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,lexapro.41,1,"Nausea (for about 1 week), headaches, brain ""zaps"" occasionally, extreme sleepiness, vivid dreams, loss of sex drive.",Nausea (for about 1 week),headaches,"brain ""zaps"" occasionally",extreme sleepiness,vivid dreams,loss of sex drive,,,,,,,,,,,,,,,,,,,,,,,,
131,lexapro.41,7,"Went to 20mg after some really tough life circumstances, Side-effects were unmanageable!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,lexapro.42,1,Possible loss of libido.,loss of libido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,lexapro.42,5,At that dosage I was so tired and irritable.,tired,irritable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,lexapro.42,7,I do not think Lexapro gave me any seriously adverse side effects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,lexapro.43,1,"nausea, dizziness, spaciness, lack of coordination, massive headache in morning that lasts all day, feeling generally ""hungover"", lack of energy/motivation, dry mouth, jaw clenching, Dr. prescribed this to ""give me a better outlook, engergy, and be able to face the day"" because of depression related to death of parents/divorce/job cut/ and resulting overwhelming responsibilities related to those factors.",nausea,dizziness,spaciness,lack of coordination,massive headache in morning that lasts all day,"feeling generally ""hungover",lack of energy,lack of motivation,dry mouth, jaw clenching,,,,,,,,,,,,,,,,,,,,
136,lexapro.43,8,"Took Fri afternoon, nauseous and dizzy immediately, spaced out, went to bed for 2 hrs, got up, couldn't even make dinner, stumbling/spacey.",nauseous,dizzy,spaced out,couldn't even make dinner,stumbling ,spacy,,,,,,,,,,,,,,,,,,,,,,,,
137,lexapro.43,9,"Next day worthless and in a fog, bad headache.",worthless,in a fog,bad headache,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,lexapro.43,11,"Woke up with massive headache, felt like hit by truck, hungover-like.",massive headache,felt like hit by truck,hungover-like,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,lexapro.43,12,Got nothing done all day.,Got nothing done all day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,lexapro.43,14,Called in sick.,Called in sick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,lexapro.43,15,"Headache still and completely useless, Coffee & tylenol so far- not helping much.",Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,lexapro.43,16,Still in fog as I type this.,in fog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,lexapro.44,1,"I have been losing handfuls of hair every time I brush, wash or run my fingers through it.",losing handfuls of hair ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,lexapro.44,3,I've become more depressed about this and cry every day.,more depressed,cry every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,lexapro.44,4,"I am also so fatigued that I am sleeping several times during the day, as well as 8-9 hours at night.",so fatigued ,sleeping several times during the day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,lexapro.45,1,"Wow this stuff is strong, i took the first 10mg today, and can't focus, i'm totally apathetic.",can't focus,totally apathetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,lexapro.45,3,"i hate feeling out of control, detached.",feeling out of control,detached,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,lexapro.45,4,I would rather be depressed than totally anihilated !, totally anihilated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,lexapro.46,1,"No sex drive, dull mood.",No sex drive,dull mood,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,lexapro.46,2,Generally felt pretty dull and had no sex drive whatsoever.,felt pretty dull,no sex drive ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,lexapro.46,4,I drank a lot while on this drug and it made me act kinda crazy.,drank a lot,act kinda crazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,lexapro.46,5,"I know your not suppose to drink when on these meds, but I honestly feel the dull boring mood this drug created for me drove me to.",dull boring mood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
